Designer,Name,Link,Photo,Category,Price,Projects,Hearts
Rebecca Danger,Bunny Nuggets,http://www.ravelry.com/patterns/library/bunny-nuggets,http://farm4.static.flickr.com/3250/3407592043_acbbd7a523_m.jpg,Softies,Free,2397,10590
Rebecca Danger,Monster Chunks,http://www.ravelry.com/patterns/library/monster-chunks,http://farm3.static.flickr.com/2424/3708911016_0fafe0bc83_m.jpg,Softies,Free,1446,5944
Rebecca Danger,Daphne and Delilah the...,http://www.ravelry.com/patterns/library/daphne-and-delilah-the-momma-and-baby-monster,http://farm3.static.flickr.com/2442/3727938060_48ff8b423f_m.jpg,Softies,$6.00,1162,4586
Rebecca Danger,Chubby Chirps,http://www.ravelry.com/patterns/library/chubby-chirps,http://images4-b.ravelrycache.com/uploads/rebeccadanger/53216689/chirps7_small_best_fit.JPG,Softies,Free,1112,7382
Rebecca Danger,Jerry the Musical Monkey,http://www.ravelry.com/patterns/library/jerry-the-musical-monkey,http://images4-b.ravelrycache.com/uploads/rebeccadanger/58982904/Jerry2_small.JPG,Softies,$6.00,1033,2621
Rebecca Danger,Penelope the Empatheti...,http://www.ravelry.com/patterns/library/penelope-the-empathetic-monster,http://farm4.static.flickr.com/3564/3468973687_4a9d32f20e_m.jpg,Softies,$6.00,907,2640
Rebecca Danger,Maddox The Mischievous...,http://www.ravelry.com/patterns/library/maddox-the-mischievous-monster,http://farm4.static.flickr.com/3331/3277510000_a64826e7fb_m.jpg,Softies,$6.00,614,1199
Rebecca Danger,Hugo the Couch Potato ...,http://www.ravelry.com/patterns/library/hugo-the-couch-potato-monster,http://images4.ravelrycache.com/uploads/rebeccadanger/52065974/hugo_small.jpg,Softies,Free,582,445
Rebecca Danger,Dot the Dress Up Box M...,http://www.ravelry.com/patterns/library/dot-the-dress-up-box-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52062322/dot_small.jpg,Softies,Free,563,654
Rebecca Danger,Irving the Icebox Monster,http://www.ravelry.com/patterns/library/irving-the-icebox-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52071285/irving_small.jpg,Softies,Free,447,234
Rebecca Danger,Iris the Gourmet Monster,http://www.ravelry.com/patterns/library/iris-the-gourmet-monster,http://farm5.static.flickr.com/4037/4368342766_fde352829f_m.jpg,Softies,$6.00,442,685
Rebecca Danger,Baldwin the Bathroom M...,http://www.ravelry.com/patterns/library/baldwin-the-bathroom-monster,http://images4.ravelrycache.com/uploads/rebeccadanger/52058180/baldwin_small.jpg,Softies,Free,424,159
Rebecca Danger,Harold the Houseplant ...,http://www.ravelry.com/patterns/library/harold-the-houseplant-monster,http://images4.ravelrycache.com/uploads/rebeccadanger/52052147/harold_small.jpg,Softies,Free,375,176
Rebecca Danger,"Holly, Ivy and Steve T...",http://www.ravelry.com/patterns/library/holly-ivy-and-steve-three-christmas-hooligan-ornaments,http://images4.ravelrycache.com/uploads/rebeccadanger/43079880/treedb_small_best_fit.JPG,Decorative,$6.00,375,1451
Rebecca Danger,Cecil the Computer Mon...,http://www.ravelry.com/patterns/library/cecil-the-computer-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52070784/cecil_small.jpg,Softies,Free,371,256
Rebecca Danger,Louie the Lovebot,http://www.ravelry.com/patterns/library/louie-the-lovebot,http://images4-b.ravelrycache.com/uploads/rebeccadanger/46674678/louie5_small.JPG,Softies,$1.99,365,1772
Rebecca Danger,Coco the Canister Monster,http://www.ravelry.com/patterns/library/coco-the-canister-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52067152/coco_small.jpg,Softies,Free,347,106
Rebecca Danger,Greta the Captivating Cat,http://www.ravelry.com/patterns/library/greta-the-captivating-cat,http://farm3.static.flickr.com/2517/3841022716_de47925eb0_m.jpg,Softies,$6.00,329,932
Rebecca Danger,Tony the Toy-Box Monster,http://www.ravelry.com/patterns/library/tony-the-toy-box-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52069901/tony_small.jpg,Softies,Free,304,128
Rebecca Danger,"Leila, Lydia, and Luca...",http://www.ravelry.com/patterns/library/leila-lydia-and-lucas-the-momma-and-baby-monsters,http://images4.ravelrycache.com/uploads/rebeccadanger/52063459/leilalydialucas_small.jpg,Softies,Free,296,168
Rebecca Danger,Basil the Boogie-Woogi...,http://www.ravelry.com/patterns/library/basil-the-boogie-woogie-brontosaurus,http://images4.ravelrycache.com/uploads/rebeccadanger/101219228/brontys2_small_best_fit.jpg,Softies,$6.00,289,3390
